id,specification,Task,hidden_passed,hidden_failed,predicted_raw,phase,Q2,Q4,llm_familiarity,python_skill,predicted_categ,predicted_midpoint_pct,total_hidden_tests,actual_pct,actual_categ,overconfidence_pp,abs_calibration_error_pp,ordinal_calibration_gap,well_calibrated_bin,overconfident_bin,underconfident_bin
S0017,G1,B,9,24,4.0,Phase 1,2.0,2.0,2.0,2.0,4.0,70.0,33,27.272727272727273,2,42.72727272727273,42.72727272727273,2.0,0.0,1.0,0.0
S0018,G1,B,12,21,4.0,Phase 1,2.0,2.0,2.0,2.0,4.0,70.0,33,36.36363636363637,2,33.63636363636363,33.63636363636363,2.0,0.0,1.0,0.0
S0019,G1,B,16,17,4.0,Phase 1,4.0,3.0,4.0,3.0,4.0,70.0,33,48.484848484848484,3,21.515151515151516,21.515151515151516,1.0,0.0,1.0,0.0
S0020,G1,B,12,21,4.0,Phase 1,4.0,5.0,4.0,5.0,4.0,70.0,33,36.36363636363637,2,33.63636363636363,33.63636363636363,2.0,0.0,1.0,0.0
S0021,G1,B,9,24,4.0,Phase 1,,,,,4.0,70.0,33,27.272727272727273,2,42.72727272727273,42.72727272727273,2.0,0.0,1.0,0.0
S0022,G1,B,9,24,4.0,Phase 1,4.0,4.0,4.0,4.0,4.0,70.0,33,27.272727272727273,2,42.72727272727273,42.72727272727273,2.0,0.0,1.0,0.0
S0023,G1,B,16,17,4.0,Phase 1,4.0,2.0,4.0,2.0,4.0,70.0,33,48.484848484848484,3,21.515151515151516,21.515151515151516,1.0,0.0,1.0,0.0
S0024,G1,B,11,22,4.0,Phase 1,4.0,3.0,4.0,3.0,4.0,70.0,33,33.333333333333336,2,36.666666666666664,36.666666666666664,2.0,0.0,1.0,0.0
S0026,G2,B,16,17,Very confident (61-80%),Phase 1,3.0,3.0,3.0,3.0,4.0,70.0,33,48.484848484848484,3,21.515151515151516,21.515151515151516,1.0,0.0,1.0,0.0
S0027,G2,B,16,17,Moderately confident (41-60%),Phase 1,4.0,3.0,4.0,3.0,3.0,50.0,33,48.484848484848484,3,1.5151515151515156,1.5151515151515156,0.0,1.0,0.0,0.0
S0028,G2,B,16,17,Not confident at all (0-20%),Phase 1,2.0,2.0,2.0,2.0,1.0,10.0,33,48.484848484848484,3,-38.484848484848484,38.484848484848484,-2.0,0.0,0.0,1.0
S0029,G2,B,12,21,Slightly confident (21-40%),Phase 1,5.0,2.0,5.0,2.0,2.0,30.0,33,36.36363636363637,2,-6.363636363636367,6.363636363636367,0.0,1.0,0.0,0.0
S0030,G2,B,14,19,Moderately confident (41-60%),Phase 1,3.0,3.0,3.0,3.0,3.0,50.0,33,42.42424242424242,3,7.575757575757578,7.575757575757578,0.0,1.0,0.0,0.0
S0031,G2,B,13,20,Moderately confident (41-60%),Phase 1,4.0,2.0,4.0,2.0,3.0,50.0,33,39.39393939393939,2,10.606060606060609,10.606060606060609,1.0,0.0,1.0,0.0
S0032,G2,B,16,17,Moderately confident (41-60%),Phase 1,,,,,3.0,50.0,33,48.484848484848484,3,1.5151515151515156,1.5151515151515156,0.0,1.0,0.0,0.0
S0033,G2,B,14,19,Very confident (61- 80%),Phase 1,4.0,4.0,4.0,4.0,4.0,70.0,33,42.42424242424242,3,27.575757575757578,27.575757575757578,1.0,0.0,1.0,0.0
S0034,G2,B,16,17,Very confident (61-80%),Phase 1,4.0,3.0,4.0,3.0,4.0,70.0,33,48.484848484848484,3,21.515151515151516,21.515151515151516,1.0,0.0,1.0,0.0
S0035,G2,B,14,19,Moderately confident (41-60%),Phase 1,4.0,3.0,4.0,3.0,3.0,50.0,33,42.42424242424242,3,7.575757575757578,7.575757575757578,0.0,1.0,0.0,0.0
S0036,G2,B,14,19,Moderately confident (41-60%),Phase 1,4.0,3.0,4.0,3.0,3.0,50.0,33,42.42424242424242,3,7.575757575757578,7.575757575757578,0.0,1.0,0.0,0.0
